Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1684431603103,0,0,0,0,-208.699966,0,-0.43,-0.38
1684431603673,0,0,0,0,-208.699966,0,-0.43,-0.38
1684431605787,0,0,0,0,-208.699966,2180.846,-1996.80261,1296.85486
1684431605961,0,0,0,0,-208.699966,2132.03,-2031.5072,1303.22852
1684431605997,0,0,0,0,-208.699966,2120.56934,-2039.11072,1299.22156
1684431606010,0,0,0,0,-208.699966,2117.68164,-2040.96753,1298.31543
1684431606022,0,0,0,0,-208.699966,2114.94385,-2041.37732,1296.87146
1684431606037,0,0,0,0,-208.699966,2108.82983,-2042.70911,1293.69849
1684431606065,0,0,0,0,-208.699966,2100.77783,-2043.6073,1289.8938
1684431606162,0,0,0,0,-208.699966,2082.226,-2049.047,1275.476
1684431606435,0,0,0,0,-208.699966,2058.03638,-2058.33667,1245.69031
1684431606462,0,0,0,0,-208.699966,2058.62671,-2060.23413,1242.00146
1684431606483,0,0,0,0,-208.699966,2058.59351,-2061.72876,1237.89246
1684431606566,0,0,0,0,-208.699966,2061.645,-2070.29541,1223.62708
1684431606670,0,0,0,0,-208.699966,2.07561,1.21671319,2.06592321
1684431606763,0,0,0,0,-208.699966,2.07652831,1.22205818,2.06750655
1684431606865,0,0,0,0,-208.699966,2.08215737,1.22479641,2.06739163
1684431606962,0,0,0,0,-208.699966,2.08150935,1.22195244,2.070554
1684431607074,0,0,0,0,-208.699966,2.075914,1.2214576,2.08046246
1684431607158,0,0,0,0,-208.699966,2.07500458,1.22006333,2.08253026
1684431607270,0,0,0,0,-208.699966,2.06592584,1.21684778,2.08635
1684431607372,0,0,0,0,-208.699966,2.0612886,1.21145749,2.08708048
1684431607464,0,0,0,0,-208.699966,2.056783,1.20781648,2.08640385
1684431607561,0,0,0,0,-208.699966,2.05205846,1.20237219,2.08371162
1684431607659,0,0,0,0,-208.699966,2.04824829,1.19530714,2.08444428
1684431607775,0,0,0,0,-208.699966,2.039499,1.18813574,2.08060741
1684431607869,0,0,0,0,-208.699966,2.03190684,1.18193531,2.079481
1684431607966,0,0,0,0,-208.699966,2.01343632,1.1767664,2.08249927
1684431608064,0,0,0,0,-208.699966,2.00139618,1.15866959,2.097036
1684431608161,0,0,0,0,-208.699966,2.00004649,1.15039742,2.11479974
