Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1685659189209,0,0,0,0,-208.699966,0,-0.43,-0.38
1685659189322,0,0,0,0,-208.699966,0,-0.43,-0.38
1685659190799,0,0,0,0,-208.699966,507.554749,1161.93542,1582.67261
1685659190856,0,0,0,0,-208.699966,510.999176,1157.54236,1582.67908
1685659190885,0,0,0,0,-208.699966,513.3943,1155.4917,1584.7428
1685659190900,0,0,0,0,-208.699966,514.2476,1154.90735,1585.71094
1685659190915,0,0,0,0,-208.699966,515.150757,1154.32,1586.77258
1685659190998,0,0,0,0,-208.699966,523.889954,1147.6145,1593.54785
1685659191095,0,0,0,0,-208.699966,535.2505,1143.02417,1597.1698
1685659191207,0,0,0,0,-208.699966,547.8915,1142.702,1595.88977
1685659191303,0,0,0,0,-208.699966,558.911743,1139.20618,1593.84021
1685659191401,0,0,0,0,-208.699966,569.8286,1135.81213,1592.19775
1685659191499,0,0,0,0,-208.699966,576.7134,1143.16675,1589.6084
1685659191612,0,0,0,0,-208.699966,-1.16638815,1.58520687,0.578934431
1685659191698,0,0,0,0,-208.699966,-1.18778348,1.57863748,0.577662766
1685659191797,0,0,0,0,-208.699966,-1.19795024,1.5752449,0.57626164
1685659191895,0,0,0,0,-208.699966,-1.18962693,1.57616532,0.577265143
1685659191999,0,0,0,0,-208.699966,-1.17689276,1.584051,0.577750266
1685659192105,0,0,0,0,-208.699966,-1.16827548,1.589113,0.575846553
1685659192202,0,0,0,0,-208.699966,-1.16627359,1.59135389,0.572347
1685659192306,0,0,0,0,-208.699966,-1.16579843,1.59409177,0.5664467
1685659192398,0,0,0,0,-208.699966,-1.16357338,1.59606445,0.563024342
1685659192496,0,0,0,0,-208.699966,-1.15822732,1.5938946,0.5596481
1685659192611,0,0,0,0,-208.699966,-1.15116167,1.59399009,0.556337833
1685659192704,0,0,0,0,-208.699966,-1.14744544,1.60513687,0.554085
1685659192802,0,0,0,0,-208.699966,-1.1434654,1.62978721,0.5517064
1685659192899,0,0,0,0,-208.699966,-1.13716018,1.64430368,0.5493294
1685659192997,0,0,0,0,-208.699966,-1.13409448,1.6470449,0.548956752
1685659193094,0,0,0,0,-208.699966,-1.13240147,1.64611,0.5493169
1685659193205,0,0,0,0,-208.699966,-1.13034475,1.647843,0.549589336
1685659193303,0,0,0,0,-208.699966,-1.12915909,1.6437968,0.5534359
1685659193400,0,0,0,0,-208.699966,-1.12876225,1.637739,0.5547301
1685659193498,0,0,0,0,-208.699966,-1.12760925,1.635778,0.5494404
1685659193595,0,0,0,0,-208.699966,-1.12755573,1.63472891,0.544655561
1685659193707,0,0,0,0,-208.699966,-1.12775052,1.63181937,0.540854
1685659193805,0,0,0,0,-208.699966,-1.12761486,1.63031447,0.5403678
1685659193902,0,0,0,0,-208.699966,-1.12773085,1.62894809,0.5417129
1685659193999,0,0,0,0,-208.699966,-1.12801027,1.62813723,0.5418629
1685659194097,0,0,0,0,-208.699966,-1.12835026,1.62731874,0.5426346
1685659194194,0,0,0,0,-208.699966,-1.128592,1.627103,0.5451329
1685659194297,0,0,0,0,-208.699966,-1.12927032,1.6263541,0.5475201
1685659194404,0,0,0,0,-208.699966,-1.12983465,1.625479,0.548071265
1685659194500,0,0,0,0,-208.699966,-1.13014638,1.6255908,0.54736644
1685659194604,0,0,0,0,-208.699966,-1.13053811,1.625269,0.5464196
1685659194695,0,0,0,0,-208.699966,-1.13087344,1.62509394,0.5454173
1685659194807,0,0,0,0,-208.699966,-1.13117552,1.62476146,0.544664443
1685659194911,0,0,0,0,-208.699966,-1.13136637,1.6248616,0.5442194
1685659195002,0,0,0,0,-208.699966,-1.13178635,1.62462759,0.543838263
1685659195098,0,0,0,0,-208.699966,-1.1322124,1.62394893,0.543469965
1685659195197,0,0,0,0,-208.699966,-1.13245475,1.62349737,0.54380995
1685659195295,0,0,0,0,-208.699966,-1.13275492,1.622771,0.545644462
1685659195406,0,0,0,0,-208.699966,-1.13278222,1.62255037,0.549135
1685659195504,0,0,0,0,-208.699966,-1.13240659,1.62221658,0.551375151
1685659195601,0,0,0,0,-208.699966,-1.13164616,1.62124562,0.55281204
1685659195698,0,0,0,0,-208.699966,-1.1302346,1.62097037,0.5538857
1685659195796,0,0,0,0,-208.699966,-1.1283977,1.6211164,0.5546677
1685659195895,0,0,0,0,-208.699966,-1.12683547,1.621512,0.5544641
1685659196005,0,0,0,0,-208.699966,-1.12516379,1.62156463,0.5537403
1685659196102,0,0,0,0,-208.699966,-1.12396991,1.62146556,0.5536405
1685659196200,0,0,0,0,-208.699966,-1.12281644,1.62143958,0.553851068
1685659196297,0,0,0,0,-208.699966,-1.12234461,1.62115657,0.5547583
1685659196395,0,0,0,0,-208.699966,-1.12203979,1.6209265,0.556424558
1685659196506,0,0,0,0,-208.699966,-1.122315,1.62056637,0.5584421
1685659196595,0,0,0,0,-208.699966,-1.12267888,1.62009609,0.5595089
1685659196701,0,0,0,0,-208.699966,-1.12284231,1.61996782,0.560022235
1685659196798,0,0,0,0,-208.699966,-1.1231395,1.61983275,0.560242355
1685659196901,0,0,0,0,-208.699966,-1.12362027,1.6194346,0.5601137
1685659196993,0,0,0,0,-208.699966,-1.12406349,1.61949134,0.559771955
1685659197104,0,0,0,0,-208.699966,-1.12467849,1.61943686,0.558914959
1685659197209,0,0,0,0,-208.699966,-1.125338,1.61915147,0.5581973
1685659197299,0,0,0,0,-208.699966,-1.12587035,1.61883247,0.558039
1685659197397,0,0,0,0,-208.699966,-1.1265403,1.61883914,0.557637751
1685659197494,0,0,0,0,-208.699966,-1.127874,1.61825645,0.5579248
1685659197606,0,0,0,0,-208.699966,-1.13017845,1.61700177,0.561062753
1685659197703,0,0,0,0,-208.699966,-1.13200676,1.61626744,0.5632475
1685659197800,0,0,0,0,-208.699966,-1.13397777,1.61553311,0.5645858
1685659197897,0,0,0,0,-208.699966,-1.1358434,1.6148932,0.5651623
1685659197995,0,0,0,0,-208.699966,-1.13779807,1.614386,0.5650154
1685659198093,0,0,0,0,-208.699966,-1.13914073,1.61385584,0.564263165
1685659198204,0,0,0,0,-208.699966,-1.14050233,1.61339271,0.562453449
1685659198302,0,0,0,0,-208.699966,-1.14154577,1.613074,0.561046
1685659198399,0,0,0,0,-208.699966,-1.14237154,1.61257267,0.5602747
1685659198496,0,0,0,0,-208.699966,-1.14427412,1.61138439,0.560276449
1685659198594,0,0,0,0,-208.699966,-1.1469574,1.6084317,0.5637101
1685659198706,0,0,0,0,-208.699966,-1.15176785,1.60478163,0.5761247
1685659198803,0,0,0,0,-208.699966,-1.157614,1.601838,0.585605562
1685659198900,0,0,0,0,-208.699966,-1.16308284,1.59807408,0.591708839
1685659198998,0,0,0,0,-208.699966,-1.16297567,1.59510267,0.591166735
1685659199096,0,0,0,0,-208.699966,-1.15792036,1.59914231,0.5867154
1685659199201,0,0,0,0,-208.699966,-1.15113735,1.60603774,0.5798688
1685659199304,0,0,0,0,-208.699966,-1.14524233,1.60946536,0.570664
1685659199401,0,0,0,0,-208.699966,-1.13942349,1.61236763,0.5623225
1685659199505,0,0,0,0,-208.699966,-1.13809109,1.61432886,0.5537884
1685659199597,0,0,0,0,-208.699966,-1.13732,1.60432386,0.553633749
1685659199694,0,0,0,0,-208.699966,-1.13696456,1.60394108,0.555508256
1685659199811,0,0,0,0,-208.699966,-1.13771784,1.60488307,0.550514162
1685659199904,0,0,0,0,-208.699966,-1.13872933,1.60472858,0.54748565
1685659200001,0,0,0,0,-208.699966,-1.14059687,1.60543859,0.5490953
1685659200098,0,0,0,0,-208.699966,-1.14376974,1.60532248,0.5534729
1685659200196,0,0,0,0,-208.699966,-1.14711154,1.6061492,0.5562926
1685659200293,0,0,0,0,-208.699966,-1.14999115,1.60692275,0.5577563
