Time,QuestX,QuestY,QuestZ,QuestRx,QuestRy,QuestRz,LeftX,LeftY,LeftZ,LeftRx,LeftRy,LeftRz,RightX,RightY,RightZ,RightRx,RightRy,RightRz
3/9/2023 1:05:19 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.65128446,0.0195224062,2.163804,2.15809822,270.601776,357.170135,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:19 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.65106249,0.0196287185,2.163594,2.15971613,270.478668,357.198242,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:19 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.65118122,0.0196395963,2.16370487,2.08945966,270.504639,357.183929,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:19 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.65101874,0.0195969939,2.16352,2.078581,270.328,357.1574,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:20 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.65108991,0.0196205378,2.1636,2.10275483,270.46463,357.152466,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:20 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.65121937,0.0196187943,2.16371965,2.14793253,270.499481,357.212158,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:20 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.651181,0.019540906,2.1636,2.11086869,270.540344,357.0966,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:20 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.65121293,0.0195604861,2.163647,2.077279,270.558319,357.0589,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:20 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.65123343,0.0194552168,2.163693,2.15824556,270.567078,357.0774,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 1:05:20 PM,2595.512,-2193.895,1056.45081,27.7378483,292.0572,265.500519,1.65081143,0.0195536762,2.163384,2.09181857,270.21283,357.110779,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
