Time,QuadX,QuadY,QuadZ,QuestX,QuestY,QuestZ,QuestRx,QuestRy,QuestRz,LeftX,LeftY,LeftZ,LeftRx,LeftRy,LeftRz,RightX,RightY,RightZ,RightRx,RightRy,RightRz
3/9/2023 4:26:29 PM,-208.700043,0.005455943,-0.399994582,0,0,0,0,0,0,-0.09579987,-0.08219545,-0.000200180337,359.307068,273.39502,2.56102467,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:30 PM,-208.700043,0.005455943,-0.399994582,0,0,0,0,0,0,-0.09579987,-0.08219545,-0.000200180337,359.307068,273.39502,2.56102467,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:31 PM,-208.700043,0.005455943,-0.399994582,2400.835,-2232.78418,1316.23462,31.2764549,174.138519,156.6947,-0.09579987,-0.08219545,-0.000200180337,359.307068,273.39502,2.56102467,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:31 PM,-208.700317,-0.03299383,-0.4322744,2404.35742,-2230.1792,1315.46411,31.8003712,176.184158,160.263855,1.50350213,0.609550238,1.95593548,4.70732927,301.696045,281.971252,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:31 PM,-208.700317,-0.0326367542,-0.433207244,2405.34058,-2229.38916,1315.109,31.3558216,177.592789,162.184586,1.50365019,0.6092279,1.95551825,4.92590427,301.699921,281.706177,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:31 PM,-208.700317,-0.03239011,-0.432388932,2408.59351,-2231.20825,1314.786,30.4670162,177.430511,162.206635,1.5035758,0.609255433,1.955632,4.88758326,301.678253,281.8426,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:31 PM,-208.700317,-0.0334155448,-0.432995737,2409.53125,-2229.58765,1314.742,31.1464825,178.12468,163.874481,1.50365424,0.6090939,1.9554081,5.03131437,301.722137,281.715149,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:31 PM,-208.700317,-0.03179332,-0.43236503,2411.32227,-2228.77026,1314.57825,33.0660629,179.765152,166.475311,1.50346971,0.609468341,1.95578444,4.706375,301.693085,281.850464,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:32 PM,-208.700317,-0.03233357,-0.433063775,2415.05347,-2232.55518,1315.05859,32.1249466,179.881912,166.920868,1.503746,0.6094086,1.95592141,4.80136156,301.7764,281.979767,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:32 PM,-208.700317,-0.03213671,-0.432860851,2417.40649,-2239.25,1316.9823,27.6688976,180.309052,167.9325,1.50373113,0.6089882,1.95530713,5.117748,301.729248,281.6585,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:32 PM,-208.700317,-0.03263493,-0.432816774,2419.7002,-2245.43848,1319.57385,29.9510937,181.487289,168.5284,1.50350344,0.6093396,1.95567775,4.85680246,301.7297,281.89,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:32 PM,-208.700317,-0.03151164,-0.433030725,2421.7124,-2251.14014,1320.54578,26.0604668,181.5219,168.44754,1.50355256,0.6094295,1.95574772,4.79006243,301.72757,281.8737,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:32 PM,-208.700317,-0.0330339037,-0.432986617,2422.334,-2251.468,1319.76843,26.6668148,181.7166,169.038422,1.50356579,0.6092216,1.95558989,4.96110153,301.701355,281.8564,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:33 PM,-208.700317,-0.0337481052,-0.4336148,2426.639,-2232.81543,1316.31213,30.0489254,181.860962,169.238663,1.50367,0.609107256,1.95533013,5.062638,301.740234,281.657867,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:33 PM,-208.700317,-0.033551313,-0.4329593,2.22641087,1.3136903,2.427231,300.331177,272.6845,345.86676,1.50366962,0.6094557,1.95589745,4.74867,301.727234,282.0036,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:33 PM,-208.700317,-0.03216111,-0.43252337,2.22653246,1.314561,2.426972,299.918457,272.9408,345.648926,1.50353074,0.609277964,1.955568,4.9128685,301.668427,281.778,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:33 PM,-208.700317,-0.03323461,-0.432420015,2.22779942,1.31514764,2.427276,298.23703,273.402039,345.196167,1.50372148,0.6091089,1.95558608,5.01277256,301.736481,281.807922,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:33 PM,-208.700317,-0.0318393558,-0.4324773,2.22948766,1.31548727,2.42741466,298.260071,273.4921,345.0817,1.50368714,0.609162,1.9555285,4.92944336,301.7569,281.7017,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/9/2023 4:26:33 PM,-208.700333,-0.0327717364,-0.432781726,2.23055625,1.31630278,2.42741656,298.05426,273.667419,344.847321,1.503737,0.6091883,1.95553017,4.96170473,301.678925,281.726685,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
