Time,RewardLog,QuadX,QuadY,QuadZ,QuestX,QuestY,QuestZ,QuestRx,QuestRy,QuestRz,LeftX,LeftY,LeftZ,LeftRx,LeftRy,LeftRz,RightX,RightY,RightZ,RightRx,RightRy,RightRz
3/16/2023 10:52:40 AM,14,-208.698212,0.1710025,-0.304441154,2091.87036,-2552.11279,1246.512,61.15694,120.230782,115.863708,1.92832983,0.816505,2.242934,341.253082,193.934677,1.22875273,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:40 AM,14,-208.698044,0.173627958,-0.304481655,2070.59766,-2571.889,1243.2113,63.3381081,119.12484,114.564873,1.92832983,0.816505,2.242934,341.253082,193.934677,1.22875273,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:40 AM,14,-208.697861,0.173704579,-0.304030776,2038.189,-2580.51318,1231.78979,61.7141342,112.74733,109.030411,1.92832983,0.816505,2.242934,341.253082,193.934677,1.22875273,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:40 AM,14,-208.697708,0.173175186,-0.30374518,1992.48376,-2568.968,1207.399,60.5710869,112.195686,108.9968,1.92832983,0.816505,2.242934,341.253082,193.934677,1.22875273,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:40 AM,14,-208.69754,0.171688765,-0.303422272,1944.0354,-2538.312,1178.84363,60.226902,101.120979,98.82835,1.92832983,0.816505,2.242934,341.253082,193.934677,1.22875273,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:40 AM,14,-208.697357,0.172965854,-0.3040884,1887.94543,-2493.47217,1144.44434,59.19453,98.65214,95.92198,1.92832983,0.816505,2.242934,341.253082,193.934677,1.22875273,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:41 AM,14,-208.697189,0.172002926,-0.304226249,1820.16956,-2444.466,1101.87183,58.1076,84.81495,83.9260254,1.92832983,0.816505,2.242934,341.253082,193.934677,1.22875273,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:41 AM,14,-208.697,0.172451377,-0.30394417,1742.43237,-2393.212,1066.04016,56.46871,84.74048,84.68717,1.92832983,0.816505,2.242934,341.253082,193.934677,1.22875273,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:41 AM,14,-208.6969,0.174377263,-0.304047465,1658.79688,-2348.51636,1060.9231,55.1704559,77.21573,79.8913651,1.92832983,0.816505,2.242934,341.253082,193.934677,1.22875273,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:41 AM,14,-208.6967,0.173104957,-0.30403626,1586.72656,-2331.92139,1117.0127,52.4333229,91.92669,94.1339,2.285758,0.789536536,1.51097465,8.224953,145.848129,13.5705194,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:41 AM,14,-208.696548,0.17146723,-0.3049425,1522.08142,-2341.63428,1200.417,45.7851219,106.69516,107.019119,2.285758,0.789536536,1.51097465,8.224953,145.848129,13.5705194,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:41 AM,14,-208.696365,0.1723441,-0.304115027,1450.61609,-2369.38916,1297.45459,39.88352,104.886688,106.038994,2.285758,0.789536536,1.51097465,8.224953,145.848129,13.5705194,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:41 AM,14,-208.696228,0.172139242,-0.30439648,1380.21875,-2410.27344,1407.4231,32.7681541,108.439484,109.331345,2.285758,0.789536536,1.51097465,8.224953,145.848129,13.5705194,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:41 AM,14,-208.69606,0.1735337,-0.3036449,1324.12439,-2461.0354,1525.84436,27.7033615,111.323906,111.867371,2.285758,0.789536536,1.51097465,8.224953,145.848129,13.5705194,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:41 AM,14,-208.6959,0.173828363,-0.304094821,1294.03235,-2521.02539,1642.09814,25.7329044,114.673317,111.353821,2.285758,0.789536536,1.51097465,8.224953,145.848129,13.5705194,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:41 AM,14,-208.695724,0.173631191,-0.304709315,1276.70288,-2570.818,1726.20007,24.062027,113.2805,109.271873,2.521375,1.09012425,1.28804612,359.791931,147.136612,290.1844,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:42 AM,14,-208.695557,0.172290057,-0.304072022,1268.03455,-2597.495,1770.82751,23.4779854,109.883888,104.913368,2.521375,1.09012425,1.28804612,359.791931,147.136612,290.1844,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:42 AM,14,-208.695374,0.172601059,-0.304666042,1252.452,-2600.694,1780.47864,22.5160885,106.189308,100.069305,2.521375,1.09012425,1.28804612,359.791931,147.136612,290.1844,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:42 AM,14,-208.695221,0.172323525,-0.303815037,1211.487,-2606.16577,1755.7157,17.50447,98.48299,93.7293,2.521375,1.09012425,1.28804612,359.791931,147.136612,290.1844,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:42 AM,14,-208.695053,0.172757044,-0.304671377,1141.54663,-2640.32178,1697.17944,7.26694059,85.78579,88.00337,2.521375,1.09012425,1.28804612,359.791931,147.136612,290.1844,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
3/16/2023 10:52:42 AM,14,-208.694885,0.172485873,-0.304755151,1075.94556,-2702.01367,1629.74377,352.729828,73.21903,90.3077,2.521375,1.09012425,1.28804612,359.791931,147.136612,290.1844,-0.07997297,-0.0969996452,0.0100067267,1.116845,272.630554,2.74147987
