Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1685482839869,0,0,0,0,-208.699966,0,-0.43,-0.38
1685482839980,0,0,0,0,-208.699966,0,-0.43,-0.38
1685482841533,0,0,0,0,-208.699966,570.6571,1269.3175,1571.16528
1685482841563,0,0,0,0,-208.699966,570.8832,1269.53125,1571.33533
1685482841583,0,0,0,0,-208.699966,570.9819,1269.625,1571.51123
1685482841591,0,0,0,0,-208.699966,571.0239,1269.68713,1571.60083
1685482841672,0,0,0,0,-208.699966,571.5135,1270.33167,1573.67969
1685482841773,0,0,0,0,-208.699966,572.0218,1273.64392,1584.06543
1685482841872,0,0,0,0,-208.699966,572.8169,1277.31421,1603.97693
1685482841973,0,0,0,0,-208.699966,573.618,1277.05359,1618.35559
1685482842071,0,0,0,0,-208.699966,573.7785,1275.62207,1626.48572
1685482842579,0,0,0,0,-208.699966,568.925049,1269.5365,1585.74463
1685482842588,0,0,0,0,-208.699966,569.2056,1269.2959,1583.79858
1685482842596,0,0,0,0,-208.699966,569.4356,1268.99646,1581.91016
1685482842638,0,0,0,0,-208.699966,570.7397,1268.44043,1575.196
1685482842738,0,0,0,0,-208.699966,574.058838,1268.86,1564.20093
1685482842838,0,0,0,0,-208.699966,575.859,1267.55688,1551.62085
1685482842938,0,0,0,0,-208.699966,577.79,1264.833,1534.354
1685482843039,0,0,0,0,-208.699966,580.4857,1262.57214,1518.55469
1685482843140,0,0,0,0,-208.699966,583.109131,1260.6001,1504.62769
1685482843239,0,0,0,0,-208.699966,586.547241,1255.67529,1486.68
1685482843338,0,0,0,0,-208.699966,588.070251,1252.96277,1472.05823
1685482843438,0,0,0,0,-208.699966,586.954041,1250.60376,1463.00891
1685482843539,0,0,0,0,-208.699966,584.8578,1252.19519,1461.86011
1685482843640,0,0,0,0,-208.699966,583.796448,1254.65015,1465.466
1685482843739,0,0,0,0,-208.699966,581.652039,1268.53,1488.96509
1685482843839,0,0,0,0,-208.699966,576.747742,1294.20544,1533.5011
1685482843940,0,0,0,0,-208.699966,587.943237,1293.007,1552.21411
1685482844039,0,0,0,0,-208.699966,603.591,1283.83618,1562.47437
1685482844138,0,0,0,0,-208.699966,605.0775,1278.62866,1575.73889
1685482844238,0,0,0,0,-208.699966,590.920166,1275.75439,1582.60388
1685482844339,0,0,0,0,-208.699966,583.3316,1272.32019,1588.01538
1685482844439,0,0,0,0,-208.699966,581.3161,1268.19434,1590.89587
1685482844538,0,0,0,0,-208.699966,579.5933,1263.34009,1592.96
1685482844640,0,0,0,0,-208.699966,576.701538,1258.21741,1597.48254
1685482844738,0,0,0,0,-208.699966,571.8924,1254.08191,1603.829
1685482844895,0,0,0,0,-208.699966,567.2112,1248.8573,1607.53918
1685482844940,0,0,0,0,-208.699966,566.9051,1247.09814,1608.85925
1685482845040,0,0,0,0,-208.699966,566.248535,1243.83691,1611.679
1685482845152,0,0,0,0,-208.699966,565.301147,1241.52039,1615.8512
1685482845250,0,0,0,0,-208.699966,565.802,1240.32446,1619.70056
1685482845345,0,0,0,0,-208.699966,566.912,1240.72339,1623.57141
1685482845443,0,0,0,0,-208.699966,566.990234,1243.15173,1631.29956
1685482845540,0,0,0,0,-208.699966,567.328857,1245.99072,1637.80884
1685482845643,0,0,0,0,-208.699966,567.7028,1248.9519,1642.96985
1685482845752,0,0,0,0,-208.699966,-1.25229144,1.650145,0.566684
1685482845850,0,0,0,0,-208.699966,-1.25621629,1.65621006,0.5655125
1685482845948,0,0,0,0,-208.699966,-1.26074958,1.65990078,0.565904856
1685482846046,0,0,0,0,-208.699966,-1.26365709,1.66091859,0.5667857
1685482846142,0,0,0,0,-208.699966,-1.26619685,1.66089153,0.56631434
1685482846240,0,0,0,0,-208.699966,-1.26793587,1.6614871,0.564801157
1685482846351,0,0,0,0,-208.699966,-1.26818931,1.66161537,0.5626005
1685482846448,0,0,0,0,-208.699966,-1.26645577,1.648775,0.5621701
1685482846546,0,0,0,0,-208.699966,-1.26657677,1.63899,0.562735558
1685482846644,0,0,0,0,-208.699966,-1.26636255,1.63007283,0.5640015
1685482846740,0,0,0,0,-208.699966,-1.26616335,1.60647726,0.5677413
1685482846843,0,0,0,0,-208.699966,-1.26845646,1.593891,0.56998533
1685482846949,0,0,0,0,-208.699966,-1.26721311,1.58167517,0.567806542
1685482847047,0,0,0,0,-208.699966,-1.26780367,1.57692468,0.567236
1685482847143,0,0,0,0,-208.699966,-1.26803291,1.576555,0.5697049
1685482847240,0,0,0,0,-208.699966,-1.26885962,1.5775739,0.572917461
1685482847338,0,0,0,0,-208.699966,-1.27200711,1.57913792,0.574922264
1685482847449,0,0,0,0,-208.699966,-1.27488685,1.57857084,0.577411
1685482847546,0,0,0,0,-208.699966,-1.27566433,1.57668376,0.5762449
1685482847643,0,0,0,0,-208.699966,-1.27738452,1.5782491,0.572116
1685482847741,0,0,0,0,-208.699966,-1.28047764,1.57634008,0.564249158
1685482847838,0,0,0,0,-208.699966,-1.28182471,1.56792808,0.560795963
1685482847945,0,0,0,0,-208.699966,-1.28148293,1.56268179,0.5638667
1685482848042,0,0,0,0,-208.699966,-1.281247,1.55943513,0.5703111
1685482848141,0,0,0,0,-208.699966,-1.283176,1.55340445,0.5732693
1685482848239,0,0,0,0,-208.699966,-1.28590441,1.54856336,0.570753157
1685482848352,0,0,0,0,-208.699966,-1.29291749,1.5483402,0.564960957
1685482848449,0,0,0,0,-208.699966,-1.297911,1.54456,0.560736954
1685482848546,0,0,0,0,-208.699966,-1.29772425,1.54524863,0.5600258
1685482848642,0,0,0,0,-208.699966,-1.29668391,1.55297887,0.5593796
1685482848740,0,0,0,0,-208.699966,-1.2949971,1.562799,0.559235036
1685482848852,0,0,0,0,-208.699966,-1.29511309,1.57588017,0.558599651
1685482848949,0,0,0,0,-208.699966,-1.2959708,1.59469676,0.5549931
1685482849046,0,0,0,0,-208.699966,-1.294746,1.6173979,0.550914049
1685482849143,0,0,0,0,-208.699966,-1.2924329,1.63499594,0.550460935
1685482849240,0,0,0,0,-208.699966,-1.29034567,1.64938807,0.5558918
1685482849352,0,0,0,0,-208.699966,-1.28817058,1.665263,0.5653389
1685482849450,0,0,0,0,-208.699966,-1.28529,1.68021,0.570293844
1685482849547,0,0,0,0,-208.699966,-1.28290772,1.68793452,0.569819
1685482849644,0,0,0,0,-208.699966,-1.28108585,1.69486344,0.565497458
1685482849740,0,0,0,0,-208.699966,-1.2764256,1.70653546,0.5621741
1685482849838,0,0,0,0,-208.699966,-1.27225816,1.71233261,0.564887643
1685482849950,0,0,0,0,-208.699966,-1.27115583,1.70993364,0.570704341
1685482850047,0,0,0,0,-208.699966,-1.27065742,1.70711446,0.5738333
1685482850144,0,0,0,0,-208.699966,-1.2706176,1.705043,0.5735215
1685482850241,0,0,0,0,-208.699966,-1.27155721,1.70103276,0.570764542
1685482850339,0,0,0,0,-208.699966,-1.27404726,1.69517982,0.5675943
1685482850450,0,0,0,0,-208.699966,-1.27575886,1.6934607,0.5677559
1685482850548,0,0,0,0,-208.699966,-1.27623689,1.692278,0.570703268
1685482850645,0,0,0,0,-208.699966,-1.27719319,1.6905365,0.57290417
1685482850742,0,0,0,0,-208.699966,-1.279253,1.68786788,0.573707938
1685482850839,0,0,0,0,-208.699966,-1.28116572,1.686305,0.573298335
1685482850950,0,0,0,0,-208.699966,-1.28248334,1.68634617,0.572571337
1685482851048,0,0,0,0,-208.699966,-1.28374469,1.68585575,0.5719543
1685482851145,0,0,0,0,-208.699966,-1.28458619,1.68564951,0.5715341
1685482851242,0,0,0,0,-208.699966,-1.28540218,1.68530977,0.570557535
1685482851339,0,0,0,0,-208.699966,-1.2860136,1.684841,0.569482744
1685482851451,0,0,0,0,-208.699966,-1.28643155,1.683828,0.5682683
1685482851548,0,0,0,0,-208.699966,-1.28725064,1.678997,0.568258464
1685482851644,0,0,0,0,-208.699966,-1.28786433,1.679876,0.567910254
1685482851742,0,0,0,0,-208.699966,-1.28602517,1.68754637,0.566475034
1685482851839,0,0,0,0,-208.699966,-1.284255,1.6911155,0.564625144
1685482851950,0,0,0,0,-208.699966,-1.28636968,1.68857336,0.5618822
1685482852047,0,0,0,0,-208.699966,-1.28982151,1.68408167,0.5589684
1685482852145,0,0,0,0,-208.699966,-1.29179811,1.68266463,0.557585
1685482852242,0,0,0,0,-208.699966,-1.29264724,1.68393993,0.557515442
1685482852340,0,0,0,0,-208.699966,-1.29421377,1.68370259,0.5581386
