Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1685480816137,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480816251,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480817979,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480818013,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480818031,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480818039,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480818117,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480818216,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480818316,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480818417,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480818518,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480818616,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480818717,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480818815,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480819139,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480819148,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480819157,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480819216,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480819317,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480819416,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480819516,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480819617,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480819717,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480819816,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480819918,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480820017,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480820117,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480820217,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480820318,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480820417,0,0,0,0,-208.699966,0,-0.43,-0.38
1685480820516,0,0,0,0,-208.699966,0,-0.43,-0.38
